name,version
1 1/8GB Bluish Black,5033D-2JALUAA
1 5033D 1/16GB Volcano Black,5033D-2LALUAF
105 DS 2019 Pink,16KIGP01A01
105 Dual Sim 2019 Black,16KIGB01A01
105 Dual Sim New Black,A00028315
105 Single Sim 2019 Black,16KIGB01A13
105 Single Sim 2019 Pink,16KIGP01A13
105 Single Sim New Black,A00028356
105 Single Sim New Blue,A00028372
105 Single Sim New White,A00028371
106 New DS Grey,16NEBD01A02
10i 4/128GB Black,51093VQV
10i 4/128GB Blue,51093VQX
110 Dual Sim 2019 Black,16NKLB01A07
110 Dual Sim 2019 Blue,16NKLL01A04
125 Dual Sim Black,16GMNB01A17
150 Dual Sim Cyan,16GMNE01A04
150 Dual Sim Red,16GMNR01A02
1B 5002H Pine Green,5002H-2BALUA12
1B 5002H Prime Black,5002H-2AALUA12
1SE 3/32GB Power Gray,5030D-2AALUA2
1SE 4/128GB Agate Green,5030E-2BALUA2
2003 Dual SIM Dark Gray,2003D-2AALUA1
2003 Dual SIM Metallic Blue,2003D-2BALUA1
2019 Single SIM Metallic Gray,2019G-3AALUA1
2053 Dual SIM Pure White,2053D-2BALUA1
2053 Dual SIM Volcano Black,2053D-2AALUA1
210 Dual SIM 2019 Black,16OTRB01A02
230 Dual Blue,16PCML01A02
230 Dual Dark Silver,A00026971
2720 Flip Black,16BTSB01A10
3T 128GB,Gunmetal
3X 5048Y Black,5048Y-2AALWE12
5310 2020 DualSim Black/Red,16PISXO1A18
7 16GB,Gold
8 4/64GB,Blue
8S 2/32GB Black,51093ULM
Armor 8 4/64GB Black,6937748733744
Armor 9 8/128GB Black,6937748733515
Armor 9E 8/128GB Black,6937748733805
Armor X5 3/32GB Red,6937748733256
Armor X5 Pro 4/64GB Black,6937748733829
B200RX,White
B200RX,Yellow
BL5000 Black,6924351609900
Camon 15 4/64GB Dark Jade,4895180755057
Camon 15 CD7 4/128GB Fascinating Purple,4895180759550
Comfort 50 Shell Duo Red,4827798212325
D855 G3 32GB,Silk White
D858 G3 Dual,Metallic Black
Droid Turbo 2 32GB,Ballistic Nylon Black
E180 2019 Red,680576170057
E240 Power DualSim Black,680576170088
E6S 4/64 GB Meteor Grey,PAJE0031RS
E7 Plus 4/64GB Misty Blue,PAKX0008RS
Edge 5G 6/128GB Dual Black,XT2063-3
FF243,Black
G6 32GB Black,H870S.ACISBK
G6 64GB Black,LGH870DS.ACISBK
G6 64GB Platinum,LGH870DS.ACISPL
G7 4/64GB Ceramic Black,XT1962-6
G7 ThinQ 4/64GB Aurora Black,LMG710EMW.ACISBK
G7 ThinQ 4/64GB Moroccan Blue,LMG710EMW.ACISBL
G8 Power 4/64GB Dual Sim Black,PAHF0007RS
G8 Power Lite 4/64GB Royal Blue,PAJC0017RS
G9 Play 4/64GB Sapphire Blue,PAKK0016RS
G9 Plus 4/128GB Navy Blue,PAKM0019RS
G920F Galaxy S6 32GB,White Pearl
G935FD Galaxy S7 Edge 32GB Gold,SM-G935FZDU
Galaxy A01 2/16GB Black,SM-A015FZKD
Galaxy A01 Core 1/16GB Black,SM-A013FZKD
Galaxy A02s 3/32GB Blue,SM-A025FZBE
